t; x; y; theta
44163989.564000; 0.00; 0.00; 165.09
44181164.856002; 0.00; 0.00; 165.09
44195236.362000; 0.00; 0.00; 165.09
44212717.669001; 0.00; 0.00; 165.09
44226834.016000; 0.00; 0.00; 165.09
44244150.493000; 0.00; 0.00; 165.09
44258803.307001; 0.00; 0.00; 165.09
44275921.192000; 0.00; 0.00; 165.09
44293012.585000; 0.00; 0.00; 165.09
44307381.236000; 0.00; 0.00; 165.09
44324536.733001; 0.00; 0.00; 165.09
44340809.839001; 0.00; 0.00; 165.09
44354996.645000; 0.00; 0.00; 165.09
44372403.460000; 0.00; 0.00; 165.09
44386745.316000; 0.00; 0.00; 165.09
44404370.391001; 0.00; 0.00; 165.09
44419029.881001; 0.00; 0.00; 165.09
44436278.973001; 0.00; 0.00; 165.09
44453493.305000; 0.00; 0.00; 165.09
44467485.551001; 0.00; 0.00; 165.09
44484687.844001; 0.00; 0.00; 165.09
44499228.938000; 0.00; 0.00; 165.09
44516401.893001; 0.00; 0.00; 165.09
44531203.271001; 0.00; 0.00; 165.09
44548514.057000; 0.00; 0.00; 165.09
44562969.920000; 0.00; 0.00; 165.09
44580304.391001; 0.00; 0.00; 165.09
44594988.832001; 0.00; 0.00; 165.09
44612297.648001; 0.00; 0.00; 165.09
44627121.908000; 0.00; 0.00; 165.09
44644300.866000; 0.00; 0.00; 165.09
44659223.138000; 0.00; 0.00; 165.09
44676595.300000; 0.00; 0.00; 165.09
44691276.840000; 0.00; 0.00; 165.09
44708723.320001; 0.00; 0.00; 165.09
44723005.645000; 0.00; 0.00; 165.09
44740463.203000; 0.00; 0.00; 165.09
44755062.118000; 0.00; 0.00; 165.09
44772261.561000; 0.00; 0.00; 165.09
44789522.324000; 0.00; 0.00; 165.09
44803542.810000; 0.00; 0.00; 165.09
44818884.295001; 0.00; 0.00; 165.09
44836379.762001; 0.00; 0.00; 165.09
44850792.740001; 0.00; 0.00; 165.09
44868033.162000; 0.00; 0.00; 165.09
44885317.178000; 0.00; 0.00; 165.09
44899372.634001; 0.00; 0.00; 165.09
44916664.450001; 0.00; 0.00; 165.09
44931037.309000; 0.00; 0.00; 165.09
44948397.782001; 0.00; 0.00; 165.09
44963581.074000; 0.00; 0.00; 165.09
44981079.218000; 0.00; 0.00; 165.09
44995246.926000; 0.00; 0.00; 165.09
45012930.782000; 0.00; 0.00; 165.09
45027523.368001; 0.00; 0.00; 165.09
45045140.611001; 0.00; 0.00; 165.09
45059602.761001; 0.00; 0.00; 165.09
45075033.212001; 0.00; 0.00; 165.09
45092786.590000; 0.00; 0.00; 165.09
45106949.484000; 0.00; 0.00; 165.09
45124598.549001; 0.00; 0.00; 165.09
45139141.966001; 0.00; 0.00; 165.09
45156907.498000; 0.00; 0.00; 165.09
45171273.906000; 0.00; 0.00; 165.09
45188844.128000; 0.00; 0.00; 165.09
45203270.081000; 0.00; 0.00; 165.09
45220583.423000; 0.00; 0.00; 165.09
45235034.376000; 0.00; 0.00; 165.09
45252574.230000; 0.00; 0.00; 165.09
45267302.256001; 0.00; 0.00; 165.09
45284686.291000; 0.00; 0.00; 165.09
