Time; Serial.print output 
4218713.8600001335;SYS: :!set left=0 right=0;
5225550.931000233;SYS: :!set left=0 right=0;
6218752.470000267;SYS: :!set left=0 right=0;
6553733.306000233;SYS: :!start_x=(cm)0 start_y=(cm)0:!goal_x=(cm)-100goal_y=(cm)0;
7226440.993999958;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)119;
7226440.993999958;SYS: :!set left=-147 right=147;
8217686.81400013;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)179;
8217686.81400013;SYS: :!set left=-2 right=2;
9224856.822000027;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-178;
9224856.822000027;SYS: :!set left=4 right=-4;
10217502.187000275;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)179;
10217502.187000275;SYS: :!set left=-2 right=2;
11226474.828000069;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-179;
11226474.828000069;SYS: :!set left=2 right=-2;
12218859.901000023;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)179;
12218859.901000023;SYS: :!set left=-2 right=2;
13226271.859000206;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-179;
13226271.859000206;SYS: :!set left=2 right=-2;
14218550.27699995;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)179;
14218550.27699995;SYS: :!set left=-2 right=2;
15225646.707000256;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-179;
15225646.707000256;SYS: :!set left=2 right=-2;
Time; Serial.print output 
12663332.380001068;SYS: :!set left=0 right=0;
13672033.60100174;SYS: :!set left=0 right=0;
13815571.45300293;SYS: :!start_x=(cm)0 start_y=(cm)0:!goal_x=(cm)-100goal_y=(cm)0;
14664895.503002167;SYS: :!pose_x=(cm)-22 pose_y=(cm)0 pose_theta=(degree)0;
14664895.503002167;SYS: :!set left=-1354 right=-1354;
15672604.48400116;SYS: :!pose_x=(cm)-48 pose_y=(cm)0 pose_theta=(degree)0;
15672604.48400116;SYS: :!set left=-902 right=-902;
16663408.850002289;SYS: :!pose_x=(cm)-74 pose_y=(cm)0 pose_theta=(degree)0;
16663408.850002289;SYS: :!set left=-451 right=-451;
17672253.083000183;SYS: :!pose_x=(cm)-90 pose_y=(cm)0 pose_theta=(degree)0;
17672253.083000183;SYS: :!set left=-173 right=-173;
18664969.333000183;SYS: :!pose_x=(cm)-95 pose_y=(cm)0 pose_theta=(degree)0;
18664969.333000183;SYS: :!set left=-86 right=-86;
19671369.018001556;SYS: :!pose_x=(cm)-98 pose_y=(cm)0 pose_theta=(degree)0;
19671369.018001556;SYS: :!set left=-34 right=-34;
20664447.340000153;SYS: :!pose_x=(cm)-99 pose_y=(cm)0 pose_theta=(degree)0;
20664447.340000153;SYS: :!set left=-17 right=-17;
21672947.511997223;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
21672947.511997223;SYS: :!set left=0 right=0;
22664848.893997192;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
22664848.893997192;SYS: :!set left=0 right=0;
23672143.254001617;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
23672143.254001617;SYS: :!set left=0 right=0;
24664249.325000763;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
24664249.325000763;SYS: :!set left=0 right=0;
