t; x; y; theta
833688333.375000; 0.00; 0.00; 0.00
833703036.536999; 0.00; 0.00; 0.00
833720054.701000; 0.00; 0.00; 0.00
833737074.874001; 0.00; 0.00; 0.00
833751511.528004; 0.00; 0.00; 0.00
833768753.144001; 0.00; 0.00; 0.00
833786044.651001; 0.00; 0.00; 0.00
833799910.481003; 0.00; 0.00; 0.00
833816974.895000; 0.00; 0.00; 0.00
833831281.954998; 0.00; 0.00; 0.00
833848293.083000; 0.00; 0.00; 0.00
833865311.964001; 0.00; 0.00; 0.00
833879358.214001; 0.00; 0.00; 0.00
833896401.117001; 0.00; 0.00; 0.00
833913545.232998; 0.00; 0.00; 0.00
833927714.733002; 0.00; 0.00; 0.00
833944718.765999; 0.00; 0.00; 0.00
833959556.098000; 0.00; 0.00; 0.00
833976588.174999; 0.00; 0.00; 0.00
833991223.048000; 0.00; 0.00; 0.00
834008214.916000; 0.00; 0.00; 0.00
834022980.788002; 0.00; 0.00; 0.00
834039931.804001; 0.00; 0.00; 0.00
834056894.424004; 0.00; 0.00; 0.00
834071498.833000; 0.00; 0.00; 0.00
834088415.925999; 0.00; 0.00; 0.00
834105304.763000; 0.00; 0.00; 0.00
834119301.002003; 0.00; 0.00; 0.00
834136238.382000; 0.00; 0.00; 0.00
834153173.312000; 0.00; 0.00; 0.00
834167682.115002; 0.00; 0.00; 0.00
834184616.218998; 0.00; 0.00; 0.00
834201549.766003; 0.00; 0.00; 0.00
834215303.511002; 0.00; 0.00; 0.00
834232230.023998; 0.00; 0.00; 0.00
834249157.647999; 0.00; 0.00; 0.00
834263725.057003; 0.00; 0.00; 0.00
834280738.454002; 0.00; 0.00; 0.00
834295363.132000; 0.00; 0.00; 0.00
834312266.407001; 0.00; 0.00; 0.00
834329190.573997; 0.00; 0.00; 0.00
834343646.106998; 0.00; 0.00; 0.00
834360585.206001; 0.00; 0.00; 0.00
834375143.023998; 0.00; 0.00; 0.00
834392356.915001; 0.00; 0.00; 0.00
834407101.009998; 0.00; 0.00; 0.00
834424052.656002; 0.00; 0.00; 0.00
834441014.722004; 0.00; 0.00; 0.00
834455588.868000; 0.00; 0.00; 0.00
834472495.658001; 0.00; 0.00; 0.00
834487078.504997; 0.00; 0.00; 0.00
834504061.729000; 0.00; 0.00; 0.00
834521044.071003; 0.00; 0.00; 0.00
834535825.608002; 0.00; 0.00; 0.00
834552765.596001; 0.00; 0.00; 0.00
834567403.394001; 0.00; 0.00; 0.00
834584316.963001; 0.00; 0.00; 0.00
834601252.655998; 0.00; 0.00; 0.00
834614976.293003; 0.00; 0.00; 0.00
834632843.879997; 0.00; 0.00; 0.00
834647453.677998; 0.00; 0.00; 0.00
