t; x; y; theta
8500529.520000; 0.00; 0.00; 0.00
8515551.241999; 0.00; 0.00; 0.00
8532731.357002; 0.00; 0.00; 0.00
8546865.809000; 0.00; 0.00; 0.00
8564041.227001; 0.00; 0.00; 0.00
8578979.743002; 0.00; 0.00; 0.00
8596174.610001; 0.00; 0.00; 0.00
8611058.538002; 0.00; 0.00; 0.00
8628242.449999; 0.00; 0.00; 0.00
8643399.255001; 0.00; 0.00; 0.00
8660529.788002; 0.00; 0.00; 0.00
8674808.610998; 0.00; 0.00; 0.00
8691979.471998; 0.00; 0.00; 0.00
8706975.066002; 0.00; 0.00; 0.00
8724252.280001; 0.00; 0.00; 0.00
8739529.943001; 0.00; 0.00; 0.00
8756902.075998; 0.00; 0.00; 0.00
8770954.426001; 0.00; 0.00; 0.00
8788276.740002; 0.00; 0.00; 0.00
8803535.543001; 0.00; 0.00; 0.00
8820831.272999; 0.00; 0.00; 0.00
8835634.930002; 0.00; 0.00; 0.00
8850650.900002; 0.00; 0.00; 0.00
8867950.565001; 0.00; 0.00; 0.00
8882917.126001; 0.00; 0.00; 0.00
8900252.909000; 0.00; 0.00; 0.00
8914901.148001; 0.00; 0.00; 0.00
8932136.180000; 0.00; 0.00; 0.00
8949404.026001; 0.00; 0.00; 0.00
8964002.136000; 0.00; 0.00; 0.00
8981300.473000; 0.00; 0.00; 0.00
8995343.502001; 0.00; 0.00; 0.00
9012803.646002; 0.00; 0.00; 0.00
9026940.526001; 0.00; 0.00; 0.00
9044275.412003; 0.00; 0.00; 0.00
9059003.635000; 0.00; 0.00; 0.00
9076175.586000; 0.00; 0.00; 0.00
9093311.907000; 0.00; 0.00; 0.00
9107370.796000; 0.00; 0.00; 0.00
9124573.475002; 0.00; 0.00; 0.00
9139270.309999; 0.00; 0.00; 0.00
9156517.416000; 0.00; 0.00; 0.00
9170748.887999; 0.00; 0.00; 0.00
9188009.484999; 0.00; 0.00; 0.00
9205323.247000; 0.00; 0.00; 0.00
9219427.321001; 0.00; 0.00; 0.00
9236718.098001; 0.00; 0.00; 0.00
9251134.913000; 0.00; 0.00; 0.00
9268502.939003; 0.00; 0.00; 0.00
9283376.729000; 0.00; 0.00; 0.00
9300750.349001; 0.00; 0.00; 0.00
9314888.240999; 0.00; 0.00; 0.00
9332179.052999; 0.00; 0.00; 0.00
9347174.587002; 0.00; 0.00; 0.00
9364506.927000; 0.00; 0.00; 0.00
9379384.484001; 0.00; 0.00; 0.00
9396494.582001; 0.00; 0.00; 0.00
9411514.341000; 0.00; 0.00; 0.00
9428796.790998; 0.00; 0.00; 0.00
9443619.964001; -0.37; 0.33; -0.03
9460792.849001; -0.37; 0.33; -0.09
9475166.858000; -0.37; 0.33; -0.14
9492466.497000; -0.37; 0.33; -0.20
9507512.287001; -0.37; 0.33; -0.25
9524696.723999; -0.37; 0.33; -0.30
9539595.230000; -0.37; 0.33; -0.35
9556286.030998; -0.37; 0.33; -0.41
9573733.221003; -0.37; 0.33; -0.46
9587706.707001; -0.37; 0.33; -0.51
9604987.774002; -0.37; 0.33; -0.57
9619254.045000; -0.37; 0.33; -0.61
9636964.435999; -0.37; 0.33; -0.67
9651080.138000; -0.37; 0.33; -0.72
9668647.209002; -0.37; 0.33; -0.78
9686006.046999; -0.37; 0.33; -0.83
9700339.778999; -0.37; 0.33; -0.88
9717563.307001; -0.37; 0.33; -0.94
9731524.851000; -0.37; 0.33; -0.98
9749623.217999; -0.37; 0.33; -1.04
9763965.335999; -0.37; 0.33; -1.09
9779135.706001; -0.37; 0.33; -1.14
9796570.830000; -0.37; 0.33; -1.20
9811534.806999; -0.37; 0.33; -1.25
9828710.291000; -0.37; 0.33; -1.31
9843534.000000; -0.37; 0.33; -1.35
9861075.959002; -0.37; 0.33; -1.41
9875325.477999; -0.37; 0.33; -1.46
9892899.612001; -0.37; 0.33; -1.52
9907712.222002; -0.37; 0.33; -1.57
9925507.278000; -0.37; 0.33; -1.62
9940058.318001; -0.37; 0.33; -1.67
9955207.756001; -0.37; 0.33; -1.72
9972918.480999; -0.37; 0.33; -1.78
9987840.545000; -0.37; 0.33; -1.83
10005559.015001; -0.37; 0.33; -1.89
10020032.145000; -0.37; 0.33; -1.94
10035080.725000; -0.37; 0.33; -1.99
10052588.883999; -0.37; 0.33; -2.04
10067868.846001; -0.37; 0.33; -2.09
10083021.276999; -0.37; 0.33; -2.14
10100734.941000; -0.37; 0.33; -2.20
10114952.516001; -0.37; 0.33; -2.25
10132277.112000; -0.37; 0.33; -2.31
10149452.212002; -0.37; 0.33; -2.36
10163475.033003; -0.37; 0.33; -2.41
10180823.849003; -0.37; 0.33; -2.47
10195018.219999; -0.37; 0.33; -2.51
10212198.011999; -0.37; 0.33; -2.57
10227500.081001; -0.37; 0.33; -2.62
10245157.577000; -0.37; 0.33; -2.68
10259550.169998; -0.37; 0.33; -2.73
10277323.839001; -0.37; 0.33; -2.79
10291398.238998; -0.37; 0.33; -2.83
10308956.318001; -0.37; 0.33; -2.89
10323039.239000; -0.37; 0.33; -2.94
10340658.491001; -0.37; 0.33; -2.99
10355059.118999; -0.37; 0.33; -3.04
10372367.123001; -0.37; 0.33; -3.10
10387731.267002; -0.37; 0.33; -3.15
10405280.054998; -0.37; 0.33; -3.21
10419484.282000; -0.37; 0.33; -3.25
10437084.148003; -0.37; 0.33; -3.31
10451281.081999; -0.37; 0.33; -3.36
10468765.115999; -0.37; 0.33; -3.42
10483696.234999; -0.37; 0.33; -3.47
10498778.181002; -0.37; 0.33; -3.52
10516087.147001; -0.37; 0.33; -3.57
10533029.881001; -0.37; 0.33; -3.63
10546930.001001; -0.37; 0.33; -3.68
10564239.406002; -0.37; 0.33; -3.73
10579258.210001; -0.37; 0.33; -3.77
10596522.968000; -0.37; 0.33; -3.82
10610942.938999; -0.37; 0.33; -3.86
10628158.966000; -0.37; 0.33; -3.91
10643102.036001; -0.37; 0.33; -3.95
10660336.066002; -0.37; 0.33; -4.00
10675603.005999; -0.37; 0.33; -4.05
10693231.955000; -0.37; 0.33; -4.10
10707623.452000; -0.37; 0.33; -4.14
10725393.647001; -0.37; 0.33; -4.19
10739701.192001; -0.37; 0.33; -4.23
10754717.921001; -0.37; 0.33; -4.28
10772085.299000; -0.37; 0.33; -4.33
10787117.171000; -0.37; 0.33; -4.37
10804976.467001; -0.37; 0.33; -4.42
10819282.606001; -0.37; 0.33; -4.46
10836414.251001; -0.37; 0.33; -4.51
10851761.130001; -0.37; 0.33; -4.56
10866779.843000; -0.37; 0.33; -4.60
10884583.548000; -0.37; 0.33; -4.65
10899865.660999; -0.37; 0.33; -4.69
10914988.192999; -0.37; 0.33; -4.74
10932981.511000; -0.37; 0.33; -4.79
10947683.518000; -0.37; 0.33; -4.83
10965521.113998; -0.37; 0.33; -4.88
10979900.471001; -0.37; 0.33; -4.93
10994939.786001; -0.37; 0.33; -4.97
11012209.608002; -0.37; 0.33; -5.02
11027415.904999; -0.37; 0.33; -5.06
11045270.371000; -0.37; 0.33; -5.11
11059520.637999; -0.37; 0.33; -5.16
11077586.025000; -0.37; 0.33; -5.21
11092043.411999; -0.37; 0.33; -5.25
11107235.544003; -0.37; 0.33; -5.29
11124740.948999; -0.37; 0.33; -5.34
11139084.025000; -0.37; 0.33; -5.39
11157484.424999; -0.37; 0.33; -5.44
11172013.869001; -0.37; 0.33; -5.48
11187093.976002; -0.37; 0.33; -5.52
11205001.676001; -0.37; 0.33; -5.58
11219023.191999; -0.37; 0.33; -5.62
11236199.488998; -0.37; 0.33; -5.67
11253484.022001; -0.37; 0.33; -5.72
11267979.328001; -0.37; 0.33; -5.76
11283377.997999; -0.37; 0.33; -5.80
11301109.164001; -0.37; 0.33; -5.85
11315614.324001; -0.37; 0.33; -5.89
11333298.012001; -0.37; 0.33; -5.95
11347780.420002; -0.37; 0.33; -5.99
11365172.386000; -0.37; 0.33; -6.04
11379525.903002; -0.37; 0.33; -6.08
11397130.691000; -0.37; 0.33; -6.13
11411227.935001; -0.37; 0.33; -6.17
11429036.925999; -0.37; 0.33; -6.22
11443515.550001; -0.37; 0.33; -6.26
11461623.563999; -0.37; 0.33; -6.32
11476024.929998; -0.37; 0.33; -6.36
11491044.846001; -0.37; 0.33; -6.40
11508556.829002; -0.37; 0.33; -6.45
11523644.875000; -0.37; 0.33; -6.50
11538739.448999; -0.37; 0.33; -6.54
11555398.192999; -0.37; 0.33; -6.59
11572742.425001; -0.37; 0.33; -6.64
11587284.320002; -0.37; 0.33; -6.68
11604998.686998; -0.37; 0.33; -6.73
11619347.716002; -0.37; 0.33; -6.77
11637593.258001; -0.37; 0.33; -6.82
11652076.859999; -0.37; 0.33; -6.87
11667183.049002; -0.37; 0.33; -6.91
11684975.153000; -0.37; 0.33; -6.96
11699433.433998; -0.37; 0.33; -7.00
11716735.152000; -0.37; 0.33; -7.05
11731612.320000; -0.37; 0.33; -7.10
11748835.170002; -0.37; 0.33; -7.15
11763659.306002; -0.37; 0.33; -7.19
11781460.378000; -0.37; 0.33; -7.24
11795866.133999; -0.37; 0.33; -7.28
11813274.416000; -0.37; 0.33; -7.33
11827459.478998; -0.37; 0.33; -7.37
11845094.597000; -0.37; 0.33; -7.42
11859744.007002; -0.37; 0.33; -7.47
11874954.902000; -0.37; 0.33; -7.51
11892802.461000; -0.37; 0.33; -7.56
11907412.460001; -0.37; 0.33; -7.60
11924905.160000; -0.37; 0.33; -7.65
11939069.587999; -0.37; 0.33; -7.70
11956464.973999; -0.37; 0.33; -7.75
11971474.005001; -0.37; 0.33; -7.79
11988850.670002; -0.37; 0.33; -7.84
12003111.974998; -0.37; 0.33; -7.88
12020672.593000; -0.37; 0.33; -7.93
12034798.971001; -0.37; 0.33; -7.97
12052198.937000; -0.37; 0.33; -8.02
12067732.834000; -0.37; 0.33; -8.07
12085230.586000; -0.37; 0.33; -8.12
12099469.094000; -0.37; 0.33; -8.16
12117531.326000; -0.37; 0.33; -8.21
12131963.257002; -0.37; 0.33; -8.25
12147143.283001; -0.37; 0.33; -8.30
12164880.073000; -0.37; 0.33; -8.35
12179010.316000; -0.37; 0.33; -8.39
12196397.697001; -0.37; 0.33; -8.44
12211755.258999; -0.37; 0.33; -8.48
12227065.546000; -0.37; 0.33; -8.53
12244254.655003; -0.37; 0.33; -8.58
12259194.363001; -0.37; 0.33; -8.62
12276413.340002; -0.37; 0.33; -8.67
12291264.163000; -0.37; 0.33; -8.71
12308672.840002; -0.37; 0.33; -8.76
12323727.005999; -0.37; 0.33; -8.81
12340864.381001; -0.37; 0.33; -8.86
12355418.939999; -0.37; 0.33; -8.90
12372540.625002; -0.37; 0.33; -8.95
12386885.682001; -0.37; 0.33; -8.99
12404133.143999; -0.37; 0.33; -9.04
12421354.359999; -0.37; 0.33; -9.09
12435768.853001; -0.37; 0.33; -9.13
12450697.764999; -0.37; 0.33; -9.17
12468046.223000; -0.37; 0.33; -9.22
12483225.109001; -0.37; 0.33; -9.27
12500526.946999; -0.37; 0.33; -9.32
12515600.144001; -0.37; 0.33; -9.36
12533004.736002; -0.37; 0.33; -9.41
12547394.948002; -0.37; 0.33; -9.45
12565156.832001; -0.37; 0.33; -9.50
12579298.786001; -0.37; 0.33; -9.53
12596593.798000; -0.37; 0.33; -9.57
12611594.356001; -0.37; 0.33; -9.61
12628826.209999; -0.37; 0.33; -9.65
12643863.596001; -0.37; 0.33; -9.69
12661136.772001; -0.37; 0.33; -9.73
12675331.502001; -0.37; 0.33; -9.77
12692638.977999; -0.37; 0.33; -9.81
12706782.349001; -0.37; 0.33; -9.85
12724129.562002; -0.37; 0.33; -9.89
12739155.963999; -0.37; 0.33; -9.93
12756386.084999; -0.37; 0.33; -9.97
12771540.227001; -0.37; 0.33; -10.01
12788922.544003; -0.37; 0.33; -10.05
12803397.099001; -0.37; 0.33; -10.09
12820562.604000; -0.37; 0.33; -10.13
12837728.325998; -0.37; 0.33; -10.17
12851684.967003; -0.37; 0.33; -10.20
12866682.626999; -0.37; 0.33; -10.24
12884043.154001; -0.37; 0.33; -10.28
12901391.102001; -0.37; 0.33; -10.33
12915458.009001; -0.37; 0.33; -10.36
12932587.860001; -0.37; 0.33; -10.40
12946856.285999; -0.37; 0.33; -10.44
12964163.181002; -0.37; 0.33; -10.48
12981509.247000; -0.37; 0.33; -10.53
