t; x; y; theta
8805399.237999; 0.00; 0.00; 0.00
8819321.348999; 0.00; 0.00; 0.00
8836507.553999; 0.00; 0.00; 0.00
8851201.018999; 0.00; 0.00; 0.00
8868345.805998; 0.00; 0.00; 0.00
8883669.093998; 0.00; 0.00; 0.00
8902738.254999; 0.00; 0.00; 0.00
8916775.496998; 0.00; 0.00; 0.00
8931300.851000; 0.00; 0.00; 0.00
8949500.278999; 0.00; 0.00; 0.00
8963815.087999; 0.00; 0.00; 0.00
8978881.698997; 0.00; 0.00; 0.00
8995953.451000; 0.00; 0.00; 0.00
9012902.421999; 0.00; 0.00; 0.00
9027068.566000; 0.00; 0.00; 0.00
9044123.276999; 0.00; 0.00; 0.00
9059155.138998; 0.00; 0.00; 0.00
9076758.775000; 0.00; 0.00; 0.00
9090864.552999; 0.00; 0.00; 0.00
9108204.587999; 0.00; 0.00; 0.00
9122698.350998; 0.00; 0.00; 0.00
9140331.872999; 0.00; 0.00; 0.00
9157543.056999; 0.00; 0.00; 0.00
9171497.712999; 0.00; 0.00; 0.00
9188777.442999; 0.00; 0.00; 0.00
9203240.085999; 0.00; 0.00; 0.00
9220417.582998; 0.00; 0.00; 0.00
9234808.786999; 0.00; 0.00; 0.00
9251949.233999; 0.00; 0.00; 0.00
9266705.275999; 0.00; 0.00; 0.00
9283923.019999; 0.00; 0.00; 0.00
9298724.047998; 0.00; 0.00; 0.00
9315963.266998; 0.00; 0.00; 0.00
9330906.956999; 0.00; 0.00; 0.00
9348250.852999; 0.00; 0.00; 0.00
9362926.394999; 0.00; 0.00; 0.00
9380185.462999; 0.00; 0.00; 0.00
9394988.719999; 0.00; 0.00; 0.00
9412522.716000; 0.00; 0.00; 0.00
9427586.855999; 0.00; 0.00; 0.00
9444722.214998; 0.00; 0.00; 0.00
9459418.709999; 0.00; 0.00; 0.00
9476769.171999; 0.00; 0.00; 0.00
9491053.119999; 0.00; 0.00; 0.00
9508579.457998; 0.00; 0.00; 0.00
9522649.136999; 0.00; 0.00; 0.00
9539811.662998; 0.00; 0.00; 0.00
9554962.691000; 0.00; 0.00; 0.00
9572370.671000; 0.00; 0.00; 0.00
9587214.653997; 0.00; 0.00; 0.00
9604367.066998; 0.00; 0.00; 0.00
9621505.809000; 0.00; 0.00; 0.00
9635564.096998; 0.00; 0.00; 0.00
9652707.955999; 0.00; 0.00; 0.00
9666637.903999; 0.00; 0.00; 0.00
9683864.691998; 0.00; 0.00; 0.00
9698714.570999; 0.00; 0.00; 0.00
9715866.187000; 0.00; 0.00; 0.00
9730845.082998; 0.00; 0.00; 0.00
