t; x; y; theta
22707147.231998; -3.02; -4.36; -89.75
22724404.612000; -3.02; -4.36; -89.75
22741583.144001; -3.02; -4.36; -89.75
22755456.079998; -3.02; -4.36; -89.75
22772749.625999; -3.02; -4.36; -89.75
22786925.704002; -3.02; -4.36; -89.75
22804138.131001; -3.02; -4.36; -89.75
22819161.995998; -3.02; -4.36; -89.75
22836325.917999; -3.02; -4.36; -89.75
22851345.413002; -3.02; -4.36; -89.75
22868801.466000; -3.02; -4.36; -89.75
22883011.650002; -3.02; -4.36; -89.75
22900336.805000; -3.02; -4.36; -89.75
22915125.076000; -3.02; -4.36; -89.75
22932263.410000; -3.02; -4.36; -89.75
22949479.800999; -3.02; -4.36; -89.75
22963503.655998; -3.02; -4.36; -89.75
22980708.563000; -3.02; -4.36; -89.75
22995074.323002; -3.02; -4.36; -89.75
23012491.132999; -3.02; -4.36; -89.75
23026569.712997; -3.02; -4.36; -89.75
23044008.869003; -3.02; -4.36; -89.75
23058624.441002; -3.02; -4.36; -89.75
23075881.826000; -3.02; -4.36; -89.75
23093349.233002; -3.02; -4.36; -89.75
23107270.670002; -3.02; -4.36; -89.75
23124518.950001; -3.02; -4.36; -89.75
23139242.931000; -3.02; -4.36; -89.75
23156651.460999; -3.02; -4.36; -89.75
23171548.162998; -3.02; -4.36; -89.75
23188923.719002; -3.02; -4.36; -89.75
23203693.323997; -3.02; -4.36; -89.75
23221035.964001; -3.02; -4.36; -89.75
23235400.566998; -3.02; -4.36; -89.75
23252669.320999; -3.02; -4.36; -89.75
23267479.723999; -3.02; -4.36; -89.75
23284970.552998; -3.02; -4.36; -89.75
23299236.384998; -3.02; -4.36; -89.75
23316593.334000; -3.02; -4.36; -89.75
23330726.145000; -3.02; -4.36; -89.75
23347619.857998; -3.02; -4.36; -89.75
23365326.251999; -3.02; -4.36; -89.75
23379518.320999; -3.02; -4.36; -89.75
23397106.542999; -3.02; -4.36; -89.75
23411389.611000; -3.02; -4.36; -89.75
23428743.995998; -3.02; -4.36; -89.75
23443079.528999; -3.02; -4.36; -89.75
23460412.773998; -3.02; -4.36; -89.75
23475009.678001; -0.37; 1.68; -89.75
